Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,foci per chromosome,comments,quality
hei10++,15.11.19,22,2,11,60.8059,,,,,late,y,12,3,intensity peaks bad,0
hei10++,15.11.19,22,2,11,67.5094,,,,,,y,,3,intensity peaks bad,0
hei10++,15.11.19,22,2,11,50.1771,,,,,,y,,2,intensity peaks bad,0
hei10++,15.11.19,22,2,11,46.4813,,,,,,y,,2,intensity peaks bad,0
hei10++,15.11.19,22,2,11,42.8588,,,,,,y,,2,intensity peaks bad,0
hei10++,15.11.19,22,2,12,56.3784,,,,,late,y,13,3,,1
hei10++,15.11.19,22,2,12,64.4884,,,,,,y,,3,,1
hei10++,15.11.19,22,2,12,39.0525,,,,,,y,,2,,1
hei10++,15.11.19,22,2,12,47.2892,,,,,,y,,2,,1
hei10++,15.11.19,22,2,12,38.0624,,,,,,y,,3,good test of slightly noisy peak,0
hei10++,15.11.19,22,2,14,64.2922,,,,,late,y,8,2,,1
hei10++,15.11.19,22,2,14,39.2728,,,,,,y,,1,,1
hei10++,15.11.19,22,2,14,53.8861,,,,,,y,,2,,1
hei10++,15.11.19,22,2,14,42.794,,,,,,y,,2,,1
hei10++,15.11.19,22,2,14,48.0179,,,,,,y,,1,,1
hei10++,15.11.19,22,2,15,38.6795,,,,,late,y,9,2,,1
hei10++,15.11.19,22,2,15,36.0125,,,,,,y,,1,,1
hei10++,15.11.19,22,2,15,53.3824,,,,,,y,,2,intruding focus,0
hei10++,15.11.19,22,2,15,61.9213,,,,,,y,,3,,1
hei10++,15.11.19,22,2,15,47.2616,,,,,,y,,1,,1
hei10++,15.11.19,22,2,16,51.5593,,,,,late,y,13,4,,0
hei10++,15.11.19,22,2,16,43.8922,,,,,,y,,2,,0
hei10++,15.11.19,22,2,16,63.696,,,,,,y,,2,,0
hei10++,15.11.19,22,2,16,40.6207,,,,,,y,,2,,0
hei10++,15.11.19,22,2,16,57.2163,,,,,,y,,3,,1
hei10++,15.11.19,22,2,17,56.6315,,,,,late,y,10,2,,1
hei10++,15.11.19,22,2,17,49.8352,,,,,,y,,1,,1
hei10++,15.11.19,22,2,17,69.6426,,,,,,y,,3,,0
hei10++,15.11.19,22,2,17,48.7942,,,,,,y,,1,,1
hei10++,15.11.19,22,2,17,64.714,,,,,,y,,3,,1
hei10++,15.11.19,22,2,18,44.8964,,,,,late,y,12,2,,1
hei10++,15.11.19,22,2,18,54.8349,,,,,,y,,4,,1
hei10++,15.11.19,22,2,18,40.1415,,,,,,y,,2,,1
hei10++,15.11.19,22,2,18,41.2993,,,,,,y,,2,,1
hei10++,15.11.19,22,2,18,56.7347,,,,,,y,,2,,1
hei10++,15.11.19,22,2,20,44.872,,,,,late,y,7,1,,1
hei10++,15.11.19,22,2,20,37.9664,,,,,,y,,1,,1
hei10++,15.11.19,22,2,20,53.3362,,,,,,y,,2,,1
hei10++,15.11.19,22,2,20,38.8045,,,,,,y,,2,,1
hei10++,15.11.19,22,2,20,59.7316,,,,,,y,,1,,1
hei10++,15.11.19,22,2,21.1,39.4973,,,,,late,y,10,1,,1
hei10++,15.11.19,22,2,21.1,34.6193,,,,,,y,,2,,1
hei10++,15.11.19,22,2,21.1,38.3161,,,,,,y,,2,,1
hei10++,15.11.19,22,2,21.1,51.2259,,,,,,y,,2,,1
hei10++,15.11.19,22,2,21.1,57.9002,,,,,,y,,3,,1
hei10++,15.11.19,22,2,21.2,37.7645,,,,,late,y,9,1,,1
hei10++,15.11.19,22,2,21.2,43.1026,,,,,,y,,2,,1
